"state","county","fips_code","geographic_coordinates","days_with_maximum_temperature_above_35_c","days_with_maximum_temperature_above_40c","maximum_of_maximum_temperatures","drought_annualized_frequency","wildfire_annualized_frequency"
"CA","Los Angeles","06037119900","+34.2278369,-118.4412802","29.77943993","17.26370049","2.630584717","73.11111111","0"
"CA","Los Angeles","06037120010","+34.2191995,-118.4622655","29.77943993","17.26370049","2.630584717","73.11111111","0"
"CA","Los Angeles","06037120020","+34.2188235,-118.4548516","29.77943993","17.26370049","2.630584717","73.11111111","4.68575e-06"
"CA","Los Angeles","06037120030","+34.2152447,-118.4518430","29.77943993","17.26370049","2.630584717","73.11111111","1.3114e-05"
"CA","Los Angeles","06037120103","+34.2297196,-118.4517984","29.77943993","17.26370049","2.630584717","73.11111111","0"
"CA","Los Angeles","06037120104","+34.2239630,-118.4493666","29.77943993","17.26370049","2.630584717","73.11111111","0"
"CA","Los Angeles","06037120105","+34.2340798,-118.4488025","29.77943993","17.26370049","2.630584717","73.11111111","0"
"CA","Los Angeles","06037120106","+34.2231020,-118.4563804","29.77943993","17.26370049","2.630584717","73.11111111","0"
"CA","Los Angeles","06037120107","+34.2264190,-118.4563804","29.77943993","17.26370049","2.630584717","73.11111111","0"
"CA","Los Angeles","06037120108","+34.2300529,-118.4563783","29.77943993","17.26370049","2.630584717","73.11111111","0"
"CA","Los Angeles","06037120300","+34.2152914,-118.4408399","29.77943993","17.26370049","2.630584717","73.11111111","9.15913e-06"
"CA","Los Angeles","06037120400","+34.2188821,-118.4323396","29.77943993","17.26370049","2.630584717","73.11111111","0"
"CA","Los Angeles","06037121010","+34.2239130,-118.4039440","29.77943993","17.26370049","2.630584717","73.11111111","6.64741e-05"
"CA","Los Angeles","06037121020","+34.2121219,-118.4020625","29.77943993","17.26370049","2.630584717","73.11111111","3.42238e-05"
"CA","Los Angeles","06037121101","+34.2244170,-118.3654295","29.77943993","17.26370049","2.630584717","73.11111111","0"
"CA","Los Angeles","06037121102","+34.2375326,-118.3841883","29.77943993","17.26370049","2.630584717","73.11111111","0.0002945"
"CA","Los Angeles","06037121210","+34.2402959,-118.4039928","29.77943993","17.26370049","2.630584717","73.11111111","0.00010797"
"CA","Los Angeles","06037121221","+34.2276073,-118.3955564","29.77943993","17.26370049","2.630584717","73.11111111","0"
"CA","Los Angeles","06037121222","+34.2321411,-118.3919494","29.77943993","17.26370049","2.630584717","73.11111111","7.5665e-06"
"CA","Los Angeles","06037121600","+34.2110690,-118.4105915","29.77943993","17.26370049","2.630584717","73.11111111","4.82257e-05"
"CA","Los Angeles","06037121801","+34.2114871,-118.3928771","29.77943993","17.26370049","2.630584717","73.11111111","0"
"CA","Los Angeles","06037121802","+34.2192112,-118.3913647","29.77943993","17.26370049","2.630584717","73.11111111","0"
"CA","Los Angeles","06037121900","+34.2178580,-118.3831998","29.77943993","17.26370049","2.630584717","73.11111111","4.22868e-05"
"CA","Los Angeles","06037122000","+34.2147689,-118.4183782","29.77943993","17.26370049","2.630584717","73.11111111","8.29749e-05"
"CA","Los Angeles","06037122120","+34.2107757,-118.3719094","29.77943993","17.26370049","2.630584717","73.11111111","0"
"CA","Los Angeles","06037122121","+34.2142143,-118.3705556","29.77943993","17.26370049","2.630584717","73.11111111","0"
"CA","Los Angeles","06037122122","+34.2197648,-118.3736105","29.77943993","17.26370049","2.630584717","73.11111111","3.67884e-05"
"CA","Los Angeles","06037122200","+34.2143159,-118.3594527","29.77943993","17.26370049","2.630584717","73.11111111","1.25289e-05"
"CA","Los Angeles","06037122410","+34.2044832,-118.3919739","29.77943993","17.26370049","2.630584717","73.11111111","0"
"CA","Los Angeles","06037122420","+34.2036100,-118.3832842","29.77943993","17.26370049","2.630584717","73.11111111","0"
"CA","Los Angeles","06037123010","+34.2027436,-118.3745717","29.77943993","17.26370049","2.630584717","73.11111111","3.324e-05"
"CA","Los Angeles","06037123020","+34.2047368,-118.3664946","29.77943993","17.26370049","2.630584717","73.11111111","0"
"CA","Los Angeles","06037123103","+34.1921320,-118.3654030","29.77943993","17.26370049","2.630584717","73.11111111","5.57609e-05"
"CA","Los Angeles","06037123104","+34.1828906,-118.3650028","29.77943993","17.26370049","2.630584717","73.11111111","0"
"CA","Los Angeles","06037123203","+34.1967006,-118.3916113","29.77943993","17.26370049","2.630584717","73.11111111","0"
"CA","Los Angeles","06037123204","+34.1939360,-118.3943295","29.77943993","17.26370049","2.630584717","73.11111111","0"
"CA","Los Angeles","06037123205","+34.1945637,-118.3835614","29.77943993","17.26370049","2.630584717","73.11111111","0"
"CA","Los Angeles","06037123206","+34.1937075,-118.3748665","29.77943993","17.26370049","2.630584717","73.11111111","5.20902e-06"
"CA","Los Angeles","06037123301","+34.2003101,-118.4001225","29.77943993","17.26370049","2.630584717","73.11111111","1.1433e-05"
"CA","Los Angeles","06037123303","+34.1972751,-118.4116037","29.77943993","17.26370049","2.630584717","73.11111111","0"
"CA","Los Angeles","06037123304","+34.1965389,-118.4060882","29.77943993","17.26370049","2.630584717","73.11111111","6.50868e-05"
"CA","Los Angeles","06037123410","+34.1993793,-118.4214325","29.77943993","17.26370049","2.630584717","73.11111111","0"
"CA","Los Angeles","06037123420","+34.1930330,-118.4146718","29.77943993","17.26370049","2.630584717","73.11111111","0"
"CA","Los Angeles","06037123510","+34.1953384,-118.4290714","29.77943993","17.26370049","2.630584717","73.11111111","0"
"CA","Los Angeles","06037123520","+34.1884912,-118.4236080","29.77943993","17.26370049","2.630584717","73.11111111","0"
"CA","Los Angeles","06037123601","+34.1774941,-118.4162038","29.77943993","17.26370049","2.630584717","73.11111111","4.07327e-06"
"CA","Los Angeles","06037123602","+34.1812199,-118.4263255","29.77943993","17.26370049","2.630584717","73.11111111","0"
"CA","Los Angeles","06037123700","+34.1848596,-118.4095169","29.77943993","17.26370049","2.630584717","73.11111111","0"
"CA","Los Angeles","06037123800","+34.1797368,-118.4014361","29.77943993","17.26370049","2.630584717","73.11111111","0"
"CA","Los Angeles","06037123901","+34.1854544,-118.3938003","29.77943993","17.26370049","2.630584717","73.11111111","1.12918e-05"
"CA","Los Angeles","06037123902","+34.1758783,-118.3922288","29.77943993","17.26370049","2.630584717","73.11111111","0"
"CA","Los Angeles","06037124000","+34.1619336,-118.4045529","29.77943993","17.26370049","2.630584717","73.11111111","4.0302e-06"
"CA","Los Angeles","06037124102","+34.1757824,-118.3833988","29.77943993","17.26370049","2.630584717","73.11111111","0"
"CA","Los Angeles","06037124103","+34.1884919,-118.3834122","29.77943993","17.26370049","2.630584717","73.11111111","0"
"CA","Los Angeles","06037124104","+34.1848613,-118.3834100","29.77943993","17.26370049","2.630584717","73.11111111","0"
"CA","Los Angeles","06037124105","+34.1812289,-118.3834061","29.77943993","17.26370049","2.630584717","73.11111111","0"
"CA","Los Angeles","06037124201","+34.1848664,-118.3746763","29.77943993","17.26370049","2.630584717","73.11111111","4.4713e-06"
"CA","Los Angeles","06037124203","+34.1776041,-118.3746650","29.77943993","17.26370049","2.630584717","73.11111111","0"
"CA","Los Angeles","06037124204","+34.1739725,-118.3746553","29.77943993","17.26370049","2.630584717","73.11111111","0"
"CA","Los Angeles","06037124300","+34.1757378,-118.3642963","29.77943993","17.26370049","2.630584717","73.11111111","0"
"CA","Los Angeles","06037124400","+34.1739658,-118.4114177","29.77943993","17.26370049","2.630584717","73.11111111","1.07407e-06"
"CA","Los Angeles","06037124500","+34.1722741,-118.4267703","29.77943993","17.26370049","2.630584717","73.11111111","1.5836e-05"
"CA","Los Angeles","06037124600","+34.1620692,-118.4269321","29.77943993","17.26370049","2.630584717","73.11111111","0"
"CA","Los Angeles","06037124700","+34.1621485,-118.4148690","29.77943993","17.26370049","2.630584717","73.11111111","1.35756e-06"
"CA","Los Angeles","06037124902","+34.1702439,-118.4008746","29.77943993","17.26370049","2.630584717","73.11111111","0"
"CA","Los Angeles","06037124903","+34.1666099,-118.4008675","29.77943993","17.26370049","2.630584717","73.11111111","0"
"CA","Los Angeles","06037125100","+34.1648811,-118.3921251","29.77943993","17.26370049","2.630584717","73.11111111","9.37137e-06"
"CA","Los Angeles","06037125200","+34.1656901,-118.3839912","29.77943993","17.26370049","2.630584717","73.11111111","1.84827e-06"
"CA","Los Angeles","06037125310","+34.1695168,-118.3660310","29.77943993","17.26370049","2.630584717","73.11111111","0"
"CA","Los Angeles","06037125320","+34.1666765,-118.3701944","29.77943993","17.26370049","2.630584717","73.11111111","0"
"CA","Los Angeles","06037125401","+34.1626066,-118.3743046","29.77943993","17.26370049","2.630584717","73.11111111","0"
"CA","Los Angeles","06037125402","+34.1566827,-118.3740062","29.77943993","17.26370049","2.630584717","73.11111111","0"
"CA","Los Angeles","06037125501","+34.1622937,-118.3657855","29.77943993","17.26370049","2.630584717","73.11111111","0"
"CA","Los Angeles","06037125502","+34.1566286,-118.3655446","29.77943993","17.26370049","2.630584717","73.11111111","0"
"CA","Los Angeles","06037125600","+34.1578941,-118.3568613","29.77943993","17.26370049","2.630584717","73.11111111","0"
"CA","Los Angeles","06037127102","+34.2060073,-118.4445253","29.77943993","17.26370049","2.630584717","73.11111111","1.59254e-05"
"CA","Los Angeles","06037127103","+34.2043745,-118.4301703","29.77943993","17.26370049","2.630584717","73.11111111","0"
"CA","Los Angeles","06037127104","+34.2051758,-118.4357986","29.77943993","17.26370049","2.630584717","73.11111111","9.92451e-06"
"CA","Los Angeles","06037127210","+34.2066365,-118.4596472","29.77943993","17.26370049","2.630584717","73.11111111","4.72938e-06"
"CA","Los Angeles","06037127220","+34.2047824,-118.4531264","29.77943993","17.26370049","2.630584717","73.11111111","0"
"CA","Los Angeles","06037127300","+34.2084003,-118.4697535","29.77943993","17.26370049","2.630584717","73.11111111","0"
"CA","Los Angeles","06037127400","+34.2102531,-118.4782103","29.77943993","17.26370049","2.630584717","73.11111111","0"
"CA","Los Angeles","06037127520","+34.2184163,-118.4697511","29.77943993","17.26370049","2.630584717","73.11111111","0"
"CA","Los Angeles","06037127603","+34.1957245,-118.4800026","29.77943993","17.26370049","2.630584717","73.11111111","0"
"CA","Los Angeles","06037127604","+34.1993151,-118.4797880","29.77943993","17.26370049","2.630584717","73.11111111","0"
